Utilisateur,count
707,28
47,22
71,19
769,19
911,17
258,17
0,15
601,14
408,14
825,14
237,14
537,13
278,13
77,13
771,12
283,12
367,12
337,12
114,12
487,12
897,11
324,11
815,11
581,11
144,10
40,10
673,10
892,10
204,10
103,10
862,10
163,10
118,9
379,9
823,9
511,9
712,9
832,9
381,8
332,8
336,8
86,8
142,8
155,8
924,8
702,8
134,8
792,8
369,8
605,8
988,8
754,7
961,7
995,7
761,7
888,7
622,7
343,7
758,7
9,7
946,7
507,7
835,7
774,7
393,7
334,6
402,6
490,6
392,6
3,6
331,6
672,6
109,6
697,6
536,6
891,6
394,6
386,6
794,6
28,6
806,6
958,6
162,6
171,6
731,6
423,6
351,6
55,6
708,6
49,6
711,6
497,6
724,6
340,5
885,5
117,5
677,5
107,5
750,5
44,5
887,5
552,5
330,5
453,5
97,5
79,5
88,5
574,5
353,5
896,5
986,5
190,4
728,4
505,3
614,3
213,3
445,3
703,2
234,2
146,2
843,2
931,1
256,1
421,1
104,1
973,1
255,1
196,1
641,1
541,1
779,1
113,1
