Utilisateur,count
825,23
9,14
47,13
707,13
138,13
771,12
190,11
258,11
334,10
146,10
537,9
109,9
408,9
958,9
337,9
774,9
256,9
792,9
835,8
758,8
343,8
796,8
892,7
77,7
507,7
703,7
134,7
423,7
815,7
702,7
601,7
806,6
163,6
393,6
728,6
402,6
3,6
379,6
712,6
278,6
367,6
79,6
622,6
162,6
711,6
340,6
946,6
697,6
536,6
118,6
0,6
394,6
144,6
885,6
28,6
155,6
237,6
331,6
71,6
672,6
97,6
114,5
351,5
204,5
490,5
324,5
103,5
574,5
353,5
142,5
897,5
579,5
995,5
171,5
988,5
862,5
581,5
336,5
552,5
961,5
453,5
823,5
887,5
330,5
896,5
794,5
86,5
213,5
430,5
924,5
677,5
88,5
750,5
332,5
386,5
731,5
49,5
369,5
911,5
986,5
40,5
761,5
497,5
381,5
107,5
421,4
283,4
769,4
605,3
724,3
255,1
366,1
832,1
44,1
117,1
505,1
973,1
673,1
511,1
708,1
541,1
104,1
641,1
