Utilisateur,count
196,315
47,96
825,70
712,64
887,64
911,63
537,62
28,60
536,58
408,56
823,55
892,55
134,54
601,54
77,52
0,52
283,50
103,50
9,50
958,49
343,48
118,48
988,48
367,47
622,45
581,45
79,44
40,44
258,43
702,42
774,42
3,42
835,41
155,41
369,41
724,41
641,40
806,40
278,40
792,39
138,39
497,39
113,39
885,39
142,38
445,38
71,38
163,38
924,38
896,38
771,37
256,37
430,37
386,37
324,37
946,36
423,36
697,36
204,36
353,36
750,36
109,36
55,35
728,35
402,34
711,34
761,34
146,34
995,34
237,33
552,33
731,33
162,33
340,33
862,32
213,32
708,31
336,31
707,30
796,30
334,30
114,30
331,29
897,29
44,29
769,29
672,29
49,29
379,29
86,28
505,28
794,27
815,27
144,27
332,27
107,26
673,26
511,26
961,26
394,26
832,26
393,26
507,25
843,25
703,25
330,24
888,24
677,24
779,24
88,23
351,23
453,23
490,23
392,23
97,23
605,22
898,22
337,21
381,21
171,21
574,21
986,18
366,17
487,17
758,16
891,16
931,14
117,13
827,12
132,11
841,9
190,9
686,9
625,8
656,7
754,7
421,7
579,6
541,6
255,5
104,5
818,5
234,4
294,3
973,2
801,2
462,1
