Utilisateur,count
707,402
825,141
911,111
835,106
47,100
9,100
771,96
581,95
0,95
924,92
71,90
537,89
237,86
731,85
28,84
144,84
77,84
258,84
163,82
769,82
823,80
408,80
171,80
946,79
278,78
806,78
337,78
3,78
334,76
324,76
134,76
536,75
887,74
958,72
40,72
118,72
114,72
796,71
792,71
283,70
712,70
155,70
353,68
601,68
394,68
162,68
896,68
142,68
336,68
109,67
677,67
622,66
507,66
815,66
402,66
393,66
86,66
897,66
423,65
702,64
369,64
724,64
332,64
453,64
961,64
995,64
761,64
204,63
885,62
330,62
367,62
213,62
988,62
862,61
379,60
49,60
79,60
552,60
88,60
386,60
892,60
697,60
103,60
711,60
574,58
107,58
55,58
138,58
779,58
774,56
497,56
343,56
44,56
146,55
703,54
728,54
986,54
511,52
340,52
672,52
97,50
430,50
794,50
708,50
832,48
487,48
579,46
758,46
750,46
256,44
445,42
490,42
351,42
641,42
331,42
196,40
888,38
605,38
898,34
381,34
392,30
190,30
673,28
843,28
754,28
891,26
931,24
505,24
294,20
117,18
625,18
255,16
113,12
366,10
421,10
104,10
541,8
670,8
614,6
824,6
234,4
656,2
841,2
686,2
132,2
