Utilisateur,count
196,8
728,6
673,5
887,5
537,4
408,4
823,4
134,4
351,4
536,4
213,4
862,3
138,3
806,3
336,3
731,3
28,3
711,3
369,3
832,3
511,3
686,3
697,3
622,3
724,3
283,3
97,3
256,3
605,3
843,3
103,3
47,3
924,3
708,3
55,2
995,2
107,2
552,2
750,2
702,2
330,2
163,2
402,2
258,2
703,2
497,2
988,2
672,2
71,2
88,2
340,2
815,2
3,2
155,2
794,2
343,2
86,2
885,2
40,2
331,2
453,2
712,2
204,2
79,2
278,2
0,2
841,2
421,2
9,2
366,2
641,2
835,2
109,2
423,2
77,2
324,2
601,2
898,2
49,2
911,2
771,2
897,2
505,2
677,2
896,2
379,2
394,2
958,2
490,2
961,2
234,1
801,1
144,1
825,1
581,1
146,1
142,1
888,1
117,1
579,1
707,1
892,1
779,1
171,1
769,1
