Utilisateur,count
47,146
537,105
258,102
825,93
408,82
769,82
283,72
9,70
958,70
146,69
134,67
497,66
40,65
28,65
77,65
892,63
278,62
728,58
343,57
702,56
887,55
103,55
581,55
758,54
703,54
815,54
792,54
712,53
601,52
806,52
835,51
774,51
138,51
605,51
832,49
911,48
961,48
367,47
324,46
0,46
163,46
924,46
114,45
536,45
862,45
71,44
423,43
988,43
823,41
44,41
213,41
256,41
946,40
79,40
711,40
55,40
118,40
445,38
144,38
771,38
331,38
86,37
204,37
995,37
386,36
622,36
142,36
761,36
109,35
697,35
888,34
3,34
171,34
369,34
379,33
162,33
897,33
336,33
155,32
88,32
511,32
708,32
340,32
505,32
672,31
97,31
393,31
724,31
353,30
896,30
351,30
796,30
507,30
750,29
490,29
641,29
402,28
673,28
117,27
986,26
421,26
885,26
332,24
430,24
107,24
552,23
453,23
237,22
843,22
677,22
330,22
113,21
541,20
381,20
794,19
394,19
190,19
366,18
334,18
487,17
132,17
731,15
779,15
973,15
898,14
104,14
337,14
49,14
574,13
707,13
827,12
579,11
392,11
841,11
891,11
656,9
931,9
294,8
196,6
754,5
255,4
625,4
686,2
234,2
801,1
