Utilisateur,count
835,36
9,35
445,35
77,35
728,29
163,29
536,28
408,27
430,26
673,26
79,25
155,25
114,24
887,23
369,23
28,23
771,23
995,22
103,22
823,21
118,21
213,21
796,21
497,20
806,20
423,20
924,20
761,20
911,20
324,19
258,19
702,19
109,19
537,19
897,19
256,18
712,18
601,18
107,18
574,18
134,18
336,18
402,18
367,18
622,18
988,18
711,18
196,18
490,18
97,18
505,18
71,17
708,17
958,17
581,17
334,17
40,17
885,17
552,17
825,17
330,17
896,17
278,17
49,16
86,16
794,16
672,16
343,16
393,16
386,16
332,16
697,16
792,16
862,16
353,15
337,15
892,15
946,15
898,15
961,15
750,15
394,15
392,15
511,15
0,15
724,15
379,15
142,14
731,14
55,14
204,14
88,13
117,13
832,13
237,13
340,12
453,12
605,12
3,12
162,12
44,12
351,11
888,11
138,11
47,11
331,10
677,10
487,10
641,10
815,10
986,9
779,9
113,9
171,9
625,9
366,8
144,8
381,8
146,7
774,6
891,6
507,6
283,6
769,5
421,4
931,4
255,4
703,4
579,3
758,3
132,3
841,3
686,3
843,2
801,1
