Utilisateur,count
825,24
0,18
171,18
835,18
144,18
771,18
896,16
806,16
9,16
815,16
924,16
712,16
897,16
353,16
237,16
86,16
71,16
394,16
28,14
622,14
507,14
423,14
697,14
204,14
393,14
258,14
134,14
109,14
88,14
677,14
337,14
537,14
702,14
47,14
336,14
581,14
369,14
885,14
163,14
49,14
601,14
536,14
386,14
79,14
958,14
3,14
162,14
367,14
155,14
453,14
995,14
862,14
324,14
574,14
552,14
961,14
114,14
107,14
892,14
911,14
278,14
946,14
796,14
408,14
402,14
330,14
823,14
761,14
40,14
103,14
887,14
794,12
672,12
118,12
379,12
988,12
711,12
97,12
986,12
332,12
343,12
55,12
731,12
77,12
728,12
142,12
334,12
792,12
213,12
146,12
497,12
758,10
351,10
779,10
331,10
832,10
769,10
430,10
44,10
138,10
750,10
511,10
724,10
708,10
256,10
641,10
490,10
340,8
888,8
283,8
579,8
703,8
605,8
774,8
487,8
381,6
445,6
190,6
898,6
891,6
754,6
392,6
843,4
625,4
931,2
117,2
505,2
104,2
113,2
294,2
673,2
366,2
