Utilisateur,count
462,2107
196,1040
759,290
863,217
47,97
825,71
712,66
887,66
911,64
537,64
28,63
707,60
892,60
536,59
408,57
77,56
823,56
601,55
134,55
0,53
283,51
103,51
343,51
9,51
958,50
988,49
118,49
367,48
40,47
622,46
581,46
835,45
79,45
258,45
3,44
774,43
702,43
138,43
806,42
155,42
369,42
724,42
430,41
497,41
278,41
641,41
113,40
885,40
792,40
445,39
924,39
163,39
71,39
142,39
896,39
731,39
204,38
324,38
256,38
386,38
771,38
423,37
353,37
750,37
109,37
946,37
697,37
728,36
55,36
402,36
995,35
711,35
146,35
761,35
340,35
862,35
237,34
162,34
552,34
213,33
708,32
336,32
334,32
796,31
44,31
49,31
114,31
672,30
379,30
331,30
897,30
815,29
769,29
505,29
86,29
794,28
144,28
393,28
961,28
332,28
832,27
107,27
394,27
673,27
511,27
490,26
507,26
703,26
330,25
888,25
843,25
677,25
779,25
453,24
392,24
97,24
88,24
351,24
898,23
605,23
171,22
337,22
574,22
381,22
487,20
986,19
818,18
366,18
891,17
758,17
931,15
117,14
132,12
827,12
841,10
686,10
234,9
190,9
625,9
421,7
754,7
656,7
255,6
579,6
541,6
104,5
973,3
294,3
801,2
824,1
