Utilisateur,count
47,84
537,76
258,60
728,52
497,49
283,49
887,49
28,49
769,47
9,47
134,45
703,43
806,43
408,42
146,42
40,42
343,41
278,39
758,39
825,39
862,38
958,38
77,37
536,36
774,34
103,34
44,33
823,33
367,33
605,33
911,33
213,32
712,32
138,32
55,31
832,31
924,31
892,31
815,30
988,30
622,30
114,30
961,30
702,29
331,29
505,28
324,28
835,28
946,28
0,27
761,26
697,26
86,26
581,25
97,25
386,25
163,25
888,25
118,24
171,24
423,24
711,24
750,24
724,24
256,24
796,23
445,23
71,23
672,23
79,23
369,22
511,22
897,22
109,22
995,22
601,22
673,22
379,22
144,22
792,22
142,21
351,21
204,21
3,21
353,20
896,20
507,20
771,19
402,19
155,19
162,19
490,18
453,17
393,17
986,17
88,17
340,16
708,16
336,16
117,16
552,15
641,15
421,15
843,15
885,14
366,14
107,14
677,14
541,13
332,13
430,13
113,13
381,12
330,12
841,12
827,12
779,11
132,10
731,10
707,10
794,9
237,9
196,9
898,9
104,8
190,8
394,8
973,8
294,7
931,7
392,7
891,7
656,6
579,6
337,5
574,5
49,5
686,4
334,3
625,2
487,2
801,2
255,1
234,1
