Utilisateur,count
707,216
47,199
825,164
537,154
258,145
408,126
769,124
9,122
28,112
134,109
283,109
77,108
911,108
958,108
835,106
581,103
278,103
40,102
887,99
146,98
0,95
497,95
806,94
924,94
892,94
728,92
792,90
71,90
702,89
712,89
163,88
815,88
536,87
103,87
771,87
601,87
343,87
324,85
823,84
703,82
138,82
144,81
114,81
961,81
946,80
774,79
367,79
862,79
213,78
758,77
3,77
988,77
832,76
423,76
118,76
171,75
622,74
711,73
605,72
79,71
142,71
86,71
109,71
55,70
204,70
995,70
369,69
44,69
336,69
697,68
897,68
155,68
761,68
162,67
256,66
386,66
724,66
237,65
796,65
896,65
393,64
379,64
353,64
88,63
507,63
402,62
511,61
731,60
331,60
97,60
340,59
445,59
708,59
885,58
672,58
453,56
332,56
334,56
677,56
351,55
888,54
552,54
330,54
394,54
107,54
986,53
337,53
750,53
490,51
641,51
430,49
673,47
49,45
505,45
794,45
779,45
574,42
487,41
843,39
117,38
381,37
579,35
190,34
196,33
898,33
421,32
113,27
366,26
392,26
891,25
541,24
931,21
294,20
754,19
104,19
132,18
973,15
841,13
625,13
255,12
827,12
656,10
686,5
234,5
670,4
824,3
614,3
801,2
