Utilisateur,count
825,39
911,37
47,34
835,33
707,32
9,32
581,30
77,30
769,29
537,29
28,28
0,28
771,27
283,27
731,27
924,26
163,26
823,26
408,26
334,25
278,25
337,25
3,25
258,24
118,24
144,24
887,23
134,23
237,23
946,23
724,22
171,22
792,22
958,22
536,21
142,21
336,20
40,20
162,20
601,20
806,20
712,19
402,19
622,19
393,19
114,19
703,19
324,19
155,19
507,19
369,18
796,18
213,18
109,18
896,18
138,18
711,18
702,18
394,18
453,18
988,18
961,18
44,18
677,17
885,17
379,17
86,17
995,17
332,17
761,17
367,17
897,17
49,16
497,16
88,16
343,16
423,16
79,16
340,16
815,16
204,16
103,16
697,16
71,16
552,16
892,16
330,16
386,16
511,15
774,15
986,15
579,15
430,15
353,15
107,15
574,15
862,15
672,14
708,14
832,14
728,14
146,14
794,13
758,13
487,13
750,13
779,13
97,13
445,13
256,12
55,12
381,11
888,11
331,11
351,11
490,11
605,11
931,10
673,10
843,10
641,10
505,9
898,9
392,9
255,8
190,8
196,8
294,8
754,8
117,7
891,7
421,5
625,5
541,4
670,4
113,4
824,3
366,3
104,3
234,2
614,1
656,1
841,1
686,1
132,1
