Utilisateur,count
497,5
536,5
574,5
114,5
343,5
806,5
771,5
256,5
49,5
702,5
946,5
601,5
750,5
324,5
622,5
394,5
892,5
697,5
885,5
581,5
537,5
386,5
896,5
728,5
79,5
107,5
155,5
825,5
552,5
988,5
887,5
336,5
761,5
28,5
213,5
961,5
898,5
367,5
379,5
278,5
796,5
995,5
924,5
97,5
258,5
862,5
897,5
330,5
423,5
823,5
393,5
0,5
408,5
118,5
672,5
712,5
958,5
708,5
724,5
511,5
835,4
88,4
430,4
86,4
142,4
77,4
332,4
711,4
334,4
117,4
794,4
353,4
134,4
9,4
340,4
832,4
673,4
162,4
392,4
731,4
911,4
453,4
505,4
71,4
204,4
237,4
55,4
109,4
369,4
103,4
605,3
331,3
986,3
351,3
163,3
490,3
487,3
815,3
402,3
337,3
40,3
44,3
677,3
779,3
171,3
792,3
888,3
445,2
507,2
891,2
366,2
625,2
113,2
641,2
774,2
138,2
146,2
144,1
47,1
931,1
255,1
381,1
758,1
132,1
841,1
703,1
686,1
283,1
3,1
