Utilisateur,count
825,12
0,9
171,9
835,9
144,9
771,9
896,8
806,8
9,8
815,8
924,8
712,8
897,8
353,8
237,8
86,8
71,8
394,8
28,7
622,7
507,7
423,7
697,7
204,7
393,7
258,7
134,7
109,7
88,7
677,7
337,7
537,7
702,7
47,7
336,7
581,7
369,7
885,7
163,7
49,7
601,7
536,7
386,7
79,7
958,7
3,7
162,7
367,7
155,7
453,7
995,7
862,7
324,7
574,7
552,7
961,7
114,7
107,7
892,7
911,7
278,7
946,7
796,7
408,7
402,7
330,7
823,7
761,7
40,7
103,7
887,7
794,6
672,6
118,6
379,6
988,6
711,6
97,6
986,6
332,6
343,6
55,6
731,6
77,6
728,6
142,6
334,6
792,6
213,6
146,6
497,6
758,5
351,5
779,5
331,5
832,5
769,5
430,5
44,5
138,5
750,5
511,5
724,5
708,5
256,5
641,5
490,5
340,4
888,4
283,4
579,4
703,4
605,4
774,4
487,4
381,3
445,3
190,3
898,3
891,3
754,3
392,3
843,2
625,2
931,1
117,1
505,1
104,1
113,1
294,1
673,1
366,1
