Utilisateur,count
462,2107
196,1119
707,480
47,371
825,348
537,296
759,290
9,274
258,267
408,265
911,264
835,258
28,255
77,254
887,241
134,235
0,229
581,229
536,227
958,226
712,225
863,217
40,217
924,216
823,216
771,215
278,215
806,214
892,213
163,212
283,210
769,209
601,209
71,208
103,205
702,198
497,197
728,197
343,195
324,195
118,194
792,193
367,190
988,188
622,187
3,187
79,186
114,186
155,185
946,185
423,181
369,181
146,179
815,177
144,177
138,177
213,176
109,175
862,175
995,174
896,173
237,172
961,171
711,171
731,170
142,170
204,170
761,169
336,168
796,167
897,167
724,166
86,166
697,166
402,166
353,166
774,165
386,164
171,164
55,162
162,161
885,161
445,160
256,155
393,155
334,155
379,152
430,151
832,151
44,150
552,150
703,148
394,147
88,145
708,145
332,144
340,143
507,143
337,143
107,143
672,143
330,142
97,140
677,140
511,140
750,139
453,139
49,137
605,135
641,134
331,132
758,130
490,128
794,127
574,125
351,122
986,120
779,118
673,118
888,117
505,107
487,104
898,95
381,90
392,86
843,85
113,84
117,76
579,75
891,67
190,64
366,59
931,55
421,49
754,46
625,44
294,35
541,34
132,34
104,31
255,30
841,28
827,24
686,23
973,18
656,18
818,18
234,17
670,8
824,7
614,6
801,5
