Utilisateur,count
196,457
47,182
863,85
258,77
537,75
430,67
702,67
408,59
71,59
728,55
835,53
601,53
367,53
507,53
118,49
825,49
707,48
815,47
3,47
605,47
892,47
832,47
213,46
792,45
144,44
445,44
758,43
673,42
911,42
769,42
77,42
28,41
712,40
393,40
9,38
453,38
958,38
887,38
806,38
155,37
337,36
138,35
334,35
204,34
779,34
381,33
343,32
581,32
731,32
103,32
497,31
79,30
163,29
142,29
402,29
761,28
237,27
536,27
109,27
88,27
711,26
146,26
703,26
924,26
134,26
511,26
55,25
336,25
331,25
724,24
171,24
283,23
278,23
988,23
672,23
256,23
961,22
697,22
708,22
862,22
49,22
86,22
622,21
641,21
0,21
324,20
677,20
759,20
117,20
369,19
754,18
332,18
896,18
931,18
379,17
505,16
823,16
891,16
946,15
897,15
774,13
986,13
843,13
771,13
104,13
255,11
386,11
107,11
114,10
366,9
340,9
541,9
44,9
794,9
351,8
113,8
40,8
392,8
97,8
885,8
162,8
330,8
796,7
995,7
625,7
750,7
614,6
423,6
552,6
574,6
421,6
898,6
353,5
190,5
490,5
394,4
888,4
824,4
234,4
686,3
656,2
827,2
