Utilisateur,count
462,312
196,41
283,34
134,32
163,30
103,30
118,28
28,28
537,25
825,23
497,20
44,19
818,18
77,17
887,16
862,16
973,14
278,14
792,14
707,14
911,14
114,12
256,11
445,11
162,10
995,10
258,10
142,10
511,9
806,9
541,8
670,8
379,8
958,7
408,7
622,7
113,7
423,7
40,6
213,6
728,6
641,6
774,6
234,6
750,5
47,5
888,5
769,5
490,5
779,4
336,4
117,4
353,4
144,4
155,4
204,4
708,4
946,4
986,3
896,3
107,3
601,3
536,3
581,3
712,3
0,2
237,2
386,2
724,2
330,2
961,2
367,2
672,2
55,1
3,1
885,1
49,1
146,1
340,1
334,1
827,1
686,1
71,1
88,1
