Utilisateur,count
445,33
835,32
9,31
77,31
163,26
728,24
536,23
408,22
430,22
673,22
155,20
79,20
369,19
114,19
887,18
28,18
771,18
103,18
995,17
911,16
118,16
823,16
213,16
796,16
423,15
402,15
109,15
806,15
497,15
761,15
490,15
924,15
134,14
324,14
505,14
537,14
40,14
711,14
897,14
258,14
702,14
97,13
574,13
336,13
988,13
334,13
367,13
107,13
712,13
601,13
622,13
792,13
71,13
256,13
86,12
330,12
794,12
332,12
708,12
581,12
958,12
885,12
552,12
825,12
896,12
278,12
337,12
386,11
353,11
49,11
343,11
3,11
862,11
672,11
392,11
393,11
697,11
961,10
946,10
724,10
47,10
892,10
0,10
394,10
142,10
511,10
379,10
55,10
750,10
731,10
204,10
898,10
237,9
138,9
832,9
44,9
88,9
117,9
605,9
162,8
641,8
351,8
888,8
453,8
340,8
625,7
815,7
144,7
113,7
487,7
331,7
381,7
677,7
366,6
779,6
986,6
171,6
283,5
146,5
769,5
891,4
507,4
774,4
421,4
931,3
196,3
579,3
703,3
255,3
843,2
758,2
132,2
841,2
686,2
801,1
