Utilisateur,Concat_Var
0,67
3,67
9,62
28,75
40,65
44,56
47,68
49,61
55,59
71,66
77,62
79,64
86,65
88,63
97,59
103,66
104,18
107,62
109,67
113,22
114,62
117,31
118,61
132,13
134,72
138,56
142,59
144,66
146,58
155,67
162,64
163,68
171,66
190,30
196,123
204,64
213,63
234,11
237,61
255,18
256,51
258,66
278,67
283,54
294,19
324,64
330,61
331,54
332,52
334,51
336,63
337,54
340,52
343,62
351,56
353,63
366,22
367,61
369,65
379,57
381,36
386,63
392,33
393,65
394,62
402,66
408,67
421,24
423,59
430,50
445,33
453,68
462,15
487,37
490,55
497,64
505,34
507,58
511,52
536,71
537,70
541,17
552,61
574,57
579,35
581,65
601,66
605,47
614,3
622,71
625,20
641,46
656,9
670,6
672,57
673,35
677,59
686,13
697,68
702,68
703,51
707,62
708,55
711,62
712,67
724,51
728,64
731,59
750,52
754,22
758,51
759,5
761,66
769,47
771,67
774,50
779,43
792,60
794,53
796,55
801,4
806,70
815,68
818,8
823,69
824,5
825,74
827,6
832,52
835,66
841,17
843,31
862,63
863,1
885,63
887,70
888,46
891,31
892,62
896,68
897,67
898,32
911,67
924,72
931,23
946,63
958,70
961,67
973,15
986,56
988,64
995,65
