Utilisateur,Composant
0,6
3,7
9,6
28,7
40,6
44,5
47,6
49,6
55,6
71,6
77,6
79,6
86,6
88,6
97,7
103,6
104,4
107,6
109,7
113,5
114,5
117,7
118,5
132,4
134,7
138,7
142,6
144,6
146,6
155,6
162,5
163,6
171,6
190,4
196,10
204,7
213,7
234,5
237,6
255,4
256,7
258,7
278,7
283,6
294,5
324,6
330,6
331,6
332,5
334,5
336,6
337,5
340,7
343,7
351,7
353,5
366,7
367,6
369,7
379,6
381,5
386,5
392,5
393,5
394,6
402,7
408,7
421,5
423,6
430,5
445,5
453,6
462,1
487,6
490,7
497,6
505,6
507,6
511,7
536,8
537,7
541,3
552,6
574,5
579,6
581,7
601,6
605,6
614,1
622,8
625,5
641,6
656,3
670,1
672,6
673,8
677,6
686,7
697,7
702,6
703,6
707,7
708,7
711,8
712,6
724,7
728,7
731,7
750,6
754,4
758,5
759,1
761,5
769,6
771,6
774,6
779,6
792,5
794,6
796,5
801,4
806,8
815,6
818,1
823,6
824,2
825,7
827,2
832,7
835,6
841,5
843,7
862,7
863,1
885,6
887,8
888,6
891,6
892,6
896,7
897,7
898,7
911,8
924,6
931,6
946,5
958,7
961,6
973,2
986,5
988,7
995,6
