ID,note,success,mention,comp_devoir,comp_feedback,comp_fichier,comp_presence,comp_remises,comp_systeme,c_notTD,c_TD1,c_TD2,c_TD3,c_TD4,c_TD5,c_TD6,c_TD7,c_TD_all,day_with_inter,ev_class_access,ev_course_access,ev_homework_handed,ev_homework_status,ev_presence,ev_presence_check,ev_presence_set,interactions,interactionsAH,interactionsDO,inter_per_day_mean,inter_per_day_var,session_avg,session_sum,variete_all,variete_composant,variete_contexte,variete_evenement
673,0.0,0,0,28.0,5.0,28.0,26.0,2.0,27.0,22.0,6.0,3.0,10.0,3.0,1.0,1.0,1.0,25.0,12,26.0,47,1.0,10.0,4.0,22.0,4.0,118,42.0,,9.833333333333334,67.96969696969695,1.4492424242424242,31.883333333333333,35,8,23,12
537,18.5,1,5,89.0,4.0,105.0,19.0,14.0,64.0,76.0,17.0,9.0,13.0,13.0,9.0,10.0,7.0,78.0,22,62.0,154,7.0,29.0,5.0,14.0,5.0,296,75.0,25.0,13.454545454545457,107.68831168831169,1.3949367088607594,110.2,70,7,30,12
511,6.5,0,0,52.0,3.0,32.0,15.0,10.0,27.0,22.0,8.0,8.0,9.0,7.0,1.0,6.0,,39.0,14,26.0,61,5.0,15.0,5.0,10.0,5.0,140,26.0,9.0,10.0,42.615384615384606,0.9477011494252872,27.48333333333333,52,7,24,11
118,5.5,0,0,72.0,,40.0,21.0,12.0,49.0,24.0,14.0,7.0,9.0,6.0,6.0,7.0,3.0,52.0,21,48.0,76,6.0,24.0,5.0,16.0,5.0,194,49.0,28.0,9.238095238095235,50.090476190476174,1.0722222222222222,41.81666666666667,61,5,26,10
171,19.5,1,5,80.0,1.0,34.0,9.0,18.0,22.0,24.0,9.0,7.0,6.0,7.0,5.0,11.0,6.0,51.0,11,21.0,75,9.0,22.0,3.0,6.0,3.0,164,24.0,,14.909090909090908,55.090909090909086,0.923873873873874,34.18333333333333,66,6,28,11
353,2.5,0,0,68.0,,30.0,15.0,16.0,37.0,20.0,5.0,6.0,5.0,5.0,5.0,11.0,7.0,44.0,15,36.0,64,8.0,15.0,4.0,11.0,4.0,166,5.0,4.0,11.066666666666666,79.06666666666668,0.8495495495495496,31.433333333333334,63,5,25,11
792,3.0,0,0,71.0,,54.0,16.0,12.0,40.0,22.0,19.0,13.0,8.0,8.0,9.0,9.0,2.0,68.0,18,39.0,90,6.0,22.0,3.0,13.0,3.0,193,45.0,14.0,10.72222222222222,32.09477124183005,0.9011363636363636,39.65,60,5,26,10
505,3.5,0,0,24.0,2.0,32.0,18.0,2.0,29.0,28.0,2.0,7.0,3.0,,1.0,,4.0,17.0,10,28.0,45,1.0,9.0,4.0,14.0,4.0,107,16.0,,10.7,49.34444444444444,0.8574712643678162,24.866666666666667,34,6,23,11
213,13.0,1,2,62.0,4.0,41.0,21.0,12.0,33.0,32.0,12.0,8.0,3.0,6.0,5.0,6.0,6.0,46.0,19,32.0,78,6.0,18.0,5.0,16.0,5.0,176,46.0,6.0,9.263157894736842,47.53801169590643,1.1825757575757576,52.03333333333333,63,7,28,11
892,3.0,0,0,60.0,1.0,63.0,15.0,14.0,60.0,31.0,11.0,14.0,10.0,8.0,7.0,7.0,6.0,63.0,17,55.0,94,7.0,16.0,5.0,10.0,5.0,213,47.0,,12.529411764705882,40.38970588235296,1.0724043715846994,65.41666666666667,62,6,24,11
